accumulation_count,base_only_gradient_norm,clip_scale,clipping_triggered,epoch,global_optimizer_step,h1_only_gradient_norm,h1_to_base_gradient_ratio,learning_rate,nonfinite,optimizer_step_in_epoch,other_prior_gradient_norm,parameter_update_norm,selected_h1_gradient_norm,total_gradient_norm_after_clip,total_gradient_norm_before_clip
4,5.900475025177002,0.16928625627613375,True,0,1,0.0,,0.0005,False,0,0.06756515800952911,0.4047868549823761,0.0,0.9999998211860657,5.907154083251953
4,5.7811055183410645,0.17271195685429414,True,0,2,0.0,,0.0005,False,1,0.06667254865169525,0.4027746319770813,0.0,0.9999997615814209,5.789987087249756
4,6.354569435119629,0.15713637797154112,True,0,3,0.0,,0.0005,False,2,0.06670217961072922,0.40217283368110657,0.0,0.9999998807907104,6.363898754119873
4,6.071890830993652,0.16451688415524623,True,0,4,0.0,,0.0005,False,3,0.0660112202167511,0.4013938307762146,0.0,0.9999997615814209,6.078403472900391
4,6.6493611335754395,0.15019264014868924,True,0,5,0.0,,0.0005,False,4,0.06581006944179535,0.4007095396518707,0.0,0.9999998807907104,6.658115863800049
4,5.500866413116455,0.18163513471378734,True,0,6,0.0,,0.0005,False,5,0.06492552161216736,0.3998512923717499,0.0,0.9999997615814209,5.505542755126953
4,5.763706207275391,0.17335432171089388,True,0,7,0.0,,0.0005,False,6,0.06449799239635468,0.39895331859588623,0.0,0.9999997615814209,5.7685322761535645
4,5.141482353210449,0.19429461897575154,True,0,8,0.0,,0.0005,False,7,0.06385990977287292,0.3980800211429596,0.0,0.9999998211860657,5.146822929382324
4,4.7992329597473145,0.20810414098217242,True,0,9,0.0,,0.0005,False,8,0.06331940740346909,0.3970881700515747,0.0,0.9999998211860657,4.805286407470703
4,5.682155132293701,0.17587737748516766,True,0,10,0.0,,0.0005,False,9,0.0636802539229393,0.39611417055130005,0.0,0.9999997615814209,5.685779571533203
4,5.636298179626465,0.17730696247587463,True,0,11,0.0,,0.0005,False,10,0.06328748166561127,0.39515966176986694,0.0,0.9999998211860657,5.639936447143555
4,6.013306617736816,0.16621601903522915,True,0,12,0.0,,0.0005,False,11,0.06326991319656372,0.3941430151462555,0.0,0.9999998211860657,6.0162672996521
4,6.182360649108887,0.16160812861564272,True,0,13,0.0,,0.0005,False,12,0.06312086433172226,0.39312344789505005,0.0,0.9999998211860657,6.187807559967041
4,6.560977458953857,0.15227237891393153,True,0,14,0.0,,0.0005,False,13,0.06313887238502502,0.3920474052429199,0.0,0.9999999403953552,6.567179203033447
4,5.465482234954834,0.18286020413288168,True,0,15,0.0,,0.0005,False,14,0.06265952438116074,0.3906947076320648,0.0,0.9999998211860657,5.468658447265625
4,6.11765193939209,0.16329988562828446,True,0,16,0.0,,0.0005,False,15,0.06266807019710541,0.38963720202445984,0.0,0.9999998211860657,6.1237030029296875
4,6.619803428649902,0.1509161862753656,True,0,17,0.0,,0.0005,False,16,0.06298844516277313,0.3885740041732788,0.0,0.9999998807907104,6.626194477081299
4,6.1196184158325195,0.1633178931104625,True,0,18,0.0,,0.0005,False,17,0.06278520822525024,0.3874708116054535,0.0,0.9999998807907104,6.123027801513672
4,6.706553936004639,0.14895682731458545,True,0,19,0.0,,0.0005,False,18,0.06281450390815735,0.3863615393638611,0.0,0.9999998211860657,6.713354587554932
3,7.101627349853516,0.14071463764312753,True,0,20,0.0,,0.0005,False,19,0.0631088986992836,0.38527998328208923,0.0,0.9999997615814209,7.106581211090088
4,7.092177391052246,0.1408343275077455,True,1,21,0.0,,0.001,False,0,0.06340040266513824,0.7683833837509155,0.0,0.9999998211860657,7.100541591644287
4,7.132216930389404,0.1400151061143443,True,1,22,0.0,,0.001,False,1,0.06349816918373108,0.765678346157074,0.0,0.9999997615814209,7.142086505889893
4,7.545529842376709,0.13233689256121164,True,1,23,0.0,,0.001,False,2,0.06353728473186493,0.7624921202659607,0.0,0.9999998807907104,7.556471824645996
4,8.99239730834961,0.11108509720009568,True,1,24,0.0,,0.001,False,3,0.06465855240821838,0.7592038512229919,0.0,0.9999998211860657,9.002107620239258
4,7.937475681304932,0.1259029520091172,True,1,25,0.0,,0.001,False,4,0.06487132608890533,0.755192756652832,0.0,0.9999999403953552,7.942625522613525
4,9.396380424499512,0.10631029833363968,True,1,26,0.0,,0.001,False,5,0.06549620628356934,0.75147944688797,0.0,0.9999999403953552,9.406426429748535
4,9.800762176513672,0.10192534045796689,True,1,27,0.0,,0.001,False,6,0.06565085053443909,0.7476885318756104,0.0,0.9999998211860657,9.811102867126465
4,11.604433059692383,0.08611262172535013,True,1,28,0.0,,0.001,False,7,0.06747312098741531,0.7439107298851013,0.0,0.9999998807907104,11.612699508666992
4,12.295817375183105,0.08126489700023676,True,1,29,0.0,,0.001,False,8,0.06869315356016159,0.7400802969932556,0.0,0.9999998807907104,12.305436134338379
4,13.506550788879395,0.07398786503502967,True,1,30,0.0,,0.001,False,9,0.06966682523488998,0.7362996935844421,0.0,0.9999998211860657,13.515729904174805
4,14.462386131286621,0.06909813405068055,True,1,31,0.0,,0.001,False,10,0.07140392810106277,0.7324730157852173,0.0,0.9999999403953552,14.47217082977295
4,12.422724723815918,0.08044233094161644,True,1,32,0.0,,0.001,False,11,0.07160957157611847,0.7280572056770325,0.0,0.9999999403953552,12.431265830993652
4,14.86059856414795,0.06724307472180956,True,1,33,0.0,,0.001,False,12,0.07329420745372772,0.7239781022071838,0.0,0.9999998807907104,14.871419906616211
4,17.209383010864258,0.05807767898426095,True,1,34,0.0,,0.001,False,13,0.0775911808013916,0.7201175689697266,0.0,0.9999999403953552,17.218318939208984
4,19.03588104248047,0.05250276063891204,True,1,35,0.0,,0.001,False,14,0.08066848665475845,0.7163079380989075,0.0,0.9999998211860657,19.04661750793457
4,20.271644592285156,0.049309046230428526,True,1,36,0.0,,0.001,False,15,0.08384496718645096,0.7126156687736511,0.0,0.9999998807907104,20.280254364013672
