file_path,file,snapshot_index,physical_time,num_cycles,file_size,physical_content_sha256,coordinates,root_grid_size_x1_x2_x3,mesh_block_size_x1_x2_x3,num_meshblocks,max_level,level_distribution,variable_names,dataset_shapes,component_basis_metadata,physical_units_metadata,code_version_metadata
/mnt/d/GRMHD_data/mad98.prim.00000.athdf,mad98.prim.00000.athdf,0,0.0,0,91779072,59b6b705686adcc6b61b293721698edaa84889887aac0758d61416431fbd00e9,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00001.athdf,mad98.prim.00001.athdf,1,10.000659066192327,5571,91779072,b2d8251f017bef6678393bf1c379743fcbb37fc0257370ace5d3ad8ba1cc3d1e,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00002.athdf,mad98.prim.00002.athdf,2,20.001318132387638,11142,91779072,83d0f03180ea0536a3d64a4d9b86ea35f342a042dc79d2e5a0fb35b8a117c40e,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00003.athdf,mad98.prim.00003.athdf,3,30.000182070407362,16712,91779072,8633e3aaa37c8e4d4637da6ab044a3ff4ae50fb445c8b1cb134dbf780b94cb5b,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00004.athdf,mad98.prim.00004.athdf,4,40.00084113660267,22283,91779072,f665e246d08607e3b5dfc6b81ff65beaaa9e9eaf3f03822a759d06c5b6cbca8b,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00005.athdf,mad98.prim.00005.athdf,5,50.001500202797985,27854,91779072,f9401657823def0e876b9e538d1ab46609283b8a5cb15634c05b8fa596c84e57,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00006.athdf,mad98.prim.00006.athdf,6,60.00036414081771,33424,91779072,afc13781573d8944212e942ed4a6e638f6d516074135e09f001a17b7348c61c8,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00007.athdf,mad98.prim.00007.athdf,7,70.00102320701302,38995,91779072,4e1e58aa6a83b00d375cffcd14d151345b97be6a989805cdd989489ca0683b47,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00008.athdf,mad98.prim.00008.athdf,8,80.00168227320833,44566,91779072,614fcc10e892f5f1ec34ff4364c19bfa79fa78167623196e7e3a34c0c74a523d,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
/mnt/d/GRMHD_data/mad98.prim.00009.athdf,mad98.prim.00009.athdf,9,90.00054621122806,50136,91779072,a2ed0c1b98774ca4d3c57ea70dc67bee3312e3ef75a929b25e71297b7e7173df,kerr-schild,"[88, 32, 16]","[22, 4, 16]",2020,3,"{""0"": 4, ""1"": 96, ""2"": 896, ""3"": 1024}","[""rho"", ""press"", ""vel1"", ""vel2"", ""vel3"", ""Bcc1"", ""Bcc2"", ""Bcc3""]","{""B"": [3, 2020, 16, 4, 22], ""prim"": [5, 2020, 16, 4, 22]}",not_available; project treats stored spherical KS coordinate components,not_available,"""not_available"""
