absolute_rms_error,boundary_normalized_l2_error,concept,direction,expected_zero,field,maximum_absolute_error,normalized_l2_error
0.0,,index_space_upstream_assumption,phi,True,radial_linear,0.0,
0.0,,stored_coordinate_aware,phi,True,radial_linear,0.0,
0.0,,spherical_scale_proxy,phi,True,radial_linear,0.0,
0.0,,index_space_upstream_assumption,theta,True,radial_linear,0.0,
4.843659688064777e-14,,stored_coordinate_aware,theta,True,radial_linear,1.1368683772161603e-12,
6.984566376524866e-16,,spherical_scale_proxy,theta,True,radial_linear,8.160506316768104e-15,
16.90151891948075,92.74589026531032,index_space_upstream_assumption,r,False,radial_linear,96.39532665132035,16.901518919480704
8.881784197001252e-16,3.14018491736755e-15,stored_coordinate_aware,r,False,radial_linear,3.552713678800501e-15,8.881784197001252e-16
8.881784197001252e-16,3.14018491736755e-15,spherical_scale_proxy,r,False,radial_linear,3.552713678800501e-15,8.881784197001252e-16
0.0,,index_space_upstream_assumption,phi,True,radial_log,0.0,
0.0,,stored_coordinate_aware,phi,True,radial_log,0.0,
0.0,,spherical_scale_proxy,phi,True,radial_log,0.0,
0.0,,index_space_upstream_assumption,theta,True,radial_log,0.0,
2.1946027762418723e-15,,stored_coordinate_aware,theta,True,radial_log,2.842170943040401e-14,
1.4361330735385726e-16,,spherical_scale_proxy,theta,True,radial_log,2.155535928233042e-15,
0.572150449588629,4.845656003791074,index_space_upstream_assumption,r,False,radial_log,3.3930852816172266,2.031378534567283
0.0007290849843385948,0.004145604491114244,stored_coordinate_aware,r,False,radial_log,0.0036185920172736585,0.0025885631797119128
0.0007290849843385948,0.004145604491114244,spherical_scale_proxy,r,False,radial_log,0.0036185920172736585,0.0025885631797119128
0.0,,index_space_upstream_assumption,phi,True,theta_cosine,0.0,
0.0,,stored_coordinate_aware,phi,True,theta_cosine,0.0,
0.0,,spherical_scale_proxy,phi,True,theta_cosine,0.0,
0.6962940705919463,41.68648759621815,index_space_upstream_assumption,theta,False,theta_cosine,1.023035867882127,0.9847085317376092
0.0002840645844173576,0.0020065756347329936,stored_coordinate_aware,theta,False,theta_cosine,0.0004014259346797333,0.00040172799346469874
