accumulation_count,base_only_gradient_norm,clipping_triggered,epoch,global_optimizer_step,h1_only_gradient_norm,h1_to_base_gradient_ratio,learning_rate,nonfinite,optimizer_step_in_epoch,parameter_update_norm,total_gradient_norm_after_clip,total_gradient_norm_before_clip
4,,True,0,1,,,0.0005,False,0,0.40478456020355225,0.9999997019767761,5.70317268371582
4,,True,0,2,,,0.0005,False,1,0.40282896161079407,0.9999998211860657,5.509526252746582
4,,True,0,3,,,0.0005,False,2,0.40222248435020447,0.9999997615814209,6.054426193237305
4,,True,0,4,,,0.0005,False,3,0.40143969655036926,0.9999997615814209,5.81017541885376
4,,True,0,5,,,0.0005,False,4,0.4007600247859955,0.9999998211860657,6.229567527770996
4,,True,0,6,,,0.0005,False,5,0.3998991847038269,0.9999998211860657,5.344187259674072
4,,True,0,7,,,0.0005,False,6,0.39899611473083496,0.9999998211860657,5.532721996307373
4,,True,0,8,,,0.0005,False,7,0.3981150984764099,0.9999997615814209,4.99985933303833
4,,True,0,9,,,0.0005,False,8,0.39711591601371765,0.9999997019767761,4.659727096557617
4,,True,0,10,,,0.0005,False,9,0.39613834023475647,0.9999998211860657,5.558629512786865
4,,True,0,11,,,0.0005,False,10,0.39518314599990845,0.9999998211860657,5.490146160125732
4,,True,0,12,,,0.0005,False,11,0.39416661858558655,0.9999998211860657,5.879281997680664
4,,True,0,13,,,0.0005,False,12,0.3931552767753601,0.9999997615814209,5.887808799743652
4,,True,0,14,,,0.0005,False,13,0.39208823442459106,0.9999998211860657,6.245748519897461
4,,True,0,15,,,0.0005,False,14,0.3907260298728943,0.9999998211860657,5.334324359893799
4,,True,0,16,,,0.0005,False,15,0.38967305421829224,0.9999998807907104,5.857927322387695
4,,True,0,17,,,0.0005,False,16,0.3886144161224365,0.9999999403953552,6.332754611968994
4,,True,0,18,,,0.0005,False,17,0.3875115215778351,0.9999998807907104,5.924558639526367
4,,True,0,19,,,0.0005,False,18,0.38640713691711426,0.9999998807907104,6.390291690826416
3,,True,0,20,,,0.0005,False,19,0.3853268325328827,0.9999998211860657,6.822973728179932
4,,True,1,21,,,0.001,False,0,0.7684774994850159,0.9999999403953552,6.804525852203369
4,,True,1,22,,,0.001,False,1,0.7657666206359863,0.9999997615814209,6.847903728485107
4,,True,1,23,,,0.001,False,2,0.7625896334648132,0.9999998807907104,7.1408538818359375
4,,True,1,24,,,0.001,False,3,0.7593153119087219,0.9999998211860657,8.451239585876465
4,,True,1,25,,,0.001,False,4,0.7553219199180603,0.9999999403953552,7.525067329406738
4,,True,1,26,,,0.001,False,5,0.7516174912452698,0.9999999403953552,8.931154251098633
4,,True,1,27,,,0.001,False,6,0.7478362917900085,0.9999998211860657,9.307954788208008
4,,True,1,28,,,0.001,False,7,0.7440662980079651,0.9999998807907104,10.888148307800293
4,,True,1,29,,,0.001,False,8,0.740241289138794,0.9999998211860657,11.577276229858398
4,,True,1,30,,,0.001,False,9,0.7364664673805237,0.9999998211860657,12.647757530212402
4,,True,1,31,,,0.001,False,10,0.7326456904411316,0.9999998807907104,13.488409996032715
4,,True,1,32,,,0.001,False,11,0.7282330393791199,0.9999998807907104,11.671712875366211
4,,True,1,33,,,0.001,False,12,0.7241609692573547,0.9999999403953552,13.82948112487793
4,,True,1,34,,,0.001,False,13,0.720302939414978,0.9999998807907104,16.051549911499023
4,,True,1,35,,,0.001,False,14,0.7164938449859619,0.9999998211860657,17.57701873779297
4,,True,1,36,,,0.001,False,15,0.7128096222877502,1.0,18.70835304260254
4,,True,1,37,,,0.001,False,16,0.7087871432304382,0.9999999403953552,18.7048397064209
4,,True,1,38,,,0.001,False,17,0.7045310735702515,0.9999998807907104,18.040090560913086
4,,True,1,39,,,0.001,False,18,0.700393557548523,0.9999998211860657,19.207542419433594
3,,True,1,40,,,0.001,False,19,0.6961713433265686,0.9999999403953552,19.30698585510254
4,,True,2,41,,,0.0009968592488416748,False,0,0.690393328666687,0.9999998807907104,22.638460159301758
4,,True,2,42,,,0.0009968592488416748,False,1,0.6866550445556641,0.9999999403953552,23.351118087768555
4,,True,2,43,,,0.0009968592488416748,False,2,0.6829929351806641,1.0,25.38621711730957
4,,True,2,44,,,0.0009968592488416748,False,3,0.6786977052688599,0.9999998807907104,22.52924156188965
4,,True,2,45,,,0.0009968592488416748,False,4,0.6750680208206177,0.9999998807907104,24.135974884033203
4,,True,2,46,,,0.0009968592488416748,False,5,0.6715060472488403,0.9999998807907104,27.512741088867188
4,,True,2,47,,,0.0009968592488416748,False,6,0.6682919263839722,0.9999999403953552,27.165895462036133
4,,True,2,48,,,0.0009968592488416748,False,7,0.6645686030387878,0.9999998807907104,27.71534538269043
4,,True,2,49,,,0.0009968592488416748,False,8,0.6606205701828003,0.9999998807907104,28.086864471435547
4,,True,2,50,,,0.0009968592488416748,False,9,0.6557443141937256,1.0,25.712873458862305
4,,True,2,51,,,0.0009968592488416748,False,10,0.6517953872680664,0.9999999403953552,26.70261573791504
4,,True,2,52,,,0.0009968592488416748,False,11,0.6487740874290466,1.0,26.044767379760742
4,,True,2,53,,,0.0009968592488416748,False,12,0.6461823582649231,1.0,25.86269760131836
4,,True,2,54,,,0.0009968592488416748,False,13,0.6427437663078308,0.9999999403953552,24.843841552734375
4,,True,2,55,,,0.0009968592488416748,False,14,0.6356454491615295,0.9999999403953552,32.405487060546875
4,,True,2,56,,,0.0009968592488416748,False,15,0.6317147612571716,0.9999998211860657,25.577434539794922
4,,True,2,57,,,0.0009968592488416748,False,16,0.6274240016937256,0.9999998807907104,30.24876594543457
4,,True,2,58,,,0.0009968592488416748,False,17,0.6261230707168579,0.9999998807907104,19.965641021728516
4,,True,2,59,,,0.0009968592488416748,False,18,0.621600866317749,0.9999999403953552,23.58963966369629
3,,True,2,60,,,0.0009968592488416748,False,19,0.6201832294464111,0.9999998211860657,18.029037475585938
4,,True,3,61,,,0.000987476492134821,False,0,0.6136279702186584,0.9999999403953552,17.369239807128906
4,,True,3,62,,,0.000987476492134821,False,1,0.6106774210929871,0.9999998807907104,20.871217727661133
4,,True,3,63,,,0.000987476492134821,False,2,0.6090326309204102,0.9999998211860657,18.503219604492188
4,,True,3,64,,,0.000987476492134821,False,3,0.6052875518798828,0.9999999403953552,18.736446380615234
4,,True,3,65,,,0.000987476492134821,False,4,0.6025123000144958,0.9999998807907104,16.783124923706055
4,,True,3,66,,,0.000987476492134821,False,5,0.6007586717605591,0.9999998807907104,15.881646156311035
4,,True,3,67,,,0.000987476492134821,False,6,0.5974749326705933,0.9999998807907104,21.231943130493164
4,,True,3,68,,,0.000987476492134821,False,7,0.5949010848999023,0.9999998807907104,12.595523834228516
4,,True,3,69,,,0.000987476492134821,False,8,0.5944250226020813,0.9999998211860657,11.18484878540039
4,,True,3,70,,,0.000987476492134821,False,9,0.5905731320381165,0.9999999403953552,21.463415145874023
4,,True,3,71,,,0.000987476492134821,False,10,0.5879984498023987,0.9999998807907104,9.198131561279297
4,,True,3,72,,,0.000987476492134821,False,11,0.5828747749328613,0.9999998807907104,11.870769500732422
4,,True,3,73,,,0.000987476492134821,False,12,0.5777708888053894,0.9999998807907104,18.477985382080078
4,,True,3,74,,,0.000987476492134821,False,13,0.5760882496833801,0.9999998211860657,11.441941261291504
4,,True,3,75,,,0.000987476492134821,False,14,0.5689975023269653,0.9999999403953552,13.022127151489258
4,,True,3,76,,,0.000987476492134821,False,15,0.565401017665863,0.9999998807907104,15.830428123474121
4,,True,3,77,,,0.000987476492134821,False,16,0.5614669919013977,1.0,13.971891403198242
4,,True,3,78,,,0.000987476492134821,False,17,0.5593077540397644,0.9999999403953552,13.012660026550293
4,,True,3,79,,,0.000987476492134821,False,18,0.5563381910324097,0.9999998807907104,12.687602043151855
3,,True,3,80,,,0.000987476492134821,False,19,0.551051676273346,0.9999998211860657,29.570453643798828
4,,True,4,81,,,0.0009719697234890297,False,0,0.5418267250061035,0.9999998211860657,12.90079116821289
4,,True,4,82,,,0.0009719697234890297,False,1,0.5379133820533752,0.9999998807907104,9.634903907775879
4,,True,4,83,,,0.0009719697234890297,False,2,0.5358807444572449,0.9999999403953552,10.353211402893066
4,,True,4,84,,,0.0009719697234890297,False,3,0.5368131995201111,0.9999998211860657,9.786848068237305
4,,True,4,85,,,0.0009719697234890297,False,4,0.5366218686103821,0.9999998807907104,8.052886009216309
4,,True,4,86,,,0.0009719697234890297,False,5,0.5309561491012573,1.0,13.236629486083984
4,,True,4,87,,,0.0009719697234890297,False,6,0.5278806686401367,0.9999998807907104,15.500307083129883
4,,True,4,88,,,0.0009719697234890297,False,7,0.5241921544075012,1.0,13.764787673950195
4,,True,4,89,,,0.0009719697234890297,False,8,0.5218598246574402,0.9999998211860657,11.41452407836914
4,,True,4,90,,,0.0009719697234890297,False,9,0.5188798904418945,1.0,14.508471488952637
4,,True,4,91,,,0.0009719697234890297,False,10,0.5135092735290527,0.9999998211860657,18.653873443603516
4,,True,4,92,,,0.0009719697234890297,False,11,0.5131585001945496,0.9999998211860657,12.197552680969238
4,,True,4,93,,,0.0009719697234890297,False,12,0.5074674487113953,0.9999998807907104,15.183356285095215
4,,True,4,94,,,0.0009719697234890297,False,13,0.5021898150444031,0.9999998807907104,19.02404022216797
4,,True,4,95,,,0.0009719697234890297,False,14,0.5019702315330505,0.9999998807907104,9.501765251159668
4,,True,4,96,,,0.0009719697234890297,False,15,0.49752077460289,0.9999999403953552,14.877108573913574
