basis,geometry,nonzero_count,second_moment_index,target,weight_sum
0,stage_ad,1,0.0,inner_equator,0.999999967232001
0,stage_af,1,0.0,inner_equator,1.0
1,stage_ad,18,1.2554791617945655,inner_equator,0.9999999939008856
1,stage_af,14,1.1846249725957423,inner_equator,0.9999999999999999
2,stage_ad,56,2.4302481455994287,inner_equator,0.9999999984091684
2,stage_af,30,2.3440583996162374,inner_equator,1.0
3,stage_ad,74,5.335406121951227,inner_equator,0.9999999993497237
3,stage_af,45,5.144135833407442,inner_equator,0.9999999999999998
4,stage_ad,66,8.377590286382514,inner_equator,0.9999999992820098
4,stage_af,28,7.005950002113446,inner_equator,1.0
0,stage_ad,1,0.0,outer_equator,0.999999967232001
0,stage_af,1,0.0,outer_equator,1.0
1,stage_ad,18,1.2554791617945655,outer_equator,0.9999999939008856
1,stage_af,14,1.2250820990653848,outer_equator,1.0000000000000002
2,stage_ad,56,2.4302481455994287,outer_equator,0.9999999984091684
2,stage_af,38,2.518311604775847,outer_equator,1.0
3,stage_ad,74,5.335406121951227,outer_equator,0.9999999993497237
3,stage_af,66,5.624022452378938,outer_equator,1.0
4,stage_ad,66,8.377590286382514,outer_equator,0.9999999992820098
4,stage_af,41,8.720382513332739,outer_equator,1.0000000000000002
0,stage_ad,1,0.0,inner_near_pole,0.999999967232001
0,stage_af,1,0.0,inner_near_pole,1.0
1,stage_ad,18,1.2554791617945655,inner_near_pole,0.9999999939008856
1,stage_af,8,1.0591866361840756,inner_near_pole,1.0
2,stage_ad,56,2.4302481455994287,inner_near_pole,0.9999999984091684
2,stage_af,11,2.307146507696932,inner_near_pole,1.0000000000000002
3,stage_ad,74,5.335406121951227,inner_near_pole,0.9999999993497237
3,stage_af,13,4.742107138873126,inner_near_pole,1.0
4,stage_ad,66,8.377590286382514,inner_near_pole,0.9999999992820098
4,stage_af,9,8.021589736258507,inner_near_pole,1.0000000000000002
0,stage_ad,1,0.0,outer_near_pole,0.999999967232001
0,stage_af,1,0.0,outer_near_pole,1.0
1,stage_ad,18,1.2554791617945655,outer_near_pole,0.9999999939008856
1,stage_af,8,1.1532450750862546,outer_near_pole,0.9999999999999999
2,stage_ad,56,2.4302481455994287,outer_near_pole,0.9999999984091684
2,stage_af,17,2.8615922062232415,outer_near_pole,0.9999999999999999
3,stage_ad,74,5.335406121951227,outer_near_pole,0.9999999993497237
3,stage_af,23,5.44581247800052,outer_near_pole,0.9999999999999999
4,stage_ad,66,8.377590286382514,outer_near_pole,0.9999999992820098
4,stage_af,13,9.341555703817956,outer_near_pole,1.0
