accumulation_count,clipping_triggered,gradient_norm_after_clip,gradient_norm_before_clip,interval,learning_rate,mean_microbatch_loss,microbatches_seen,nonfinite,optimizer_update
4,True,0.9999999403953552,9.310723304748535,1,2.5e-05,9.096233397722244,4,False,1
4,True,0.9999998211860657,8.776418685913086,1,5e-05,16.937487810850143,8,False,2
4,True,0.9999998211860657,7.359923362731934,1,7.500000000000001e-05,294.38512232899666,12,False,3
4,True,0.9999998211860657,6.465734481811523,1,0.0001,224.86883046478033,16,False,4
4,True,0.9999997615814209,4.589235782623291,1,0.000125,10.61417330801487,20,False,5
4,True,0.9999999403953552,13.30827522277832,1,0.00015000000000000001,391.31397181749344,24,False,6
4,True,0.9999998211860657,7.3264570236206055,1,0.000175,362.09476513043046,28,False,7
4,True,0.9999997019767761,3.7171003818511963,1,0.0002,10.16128957271576,32,False,8
4,True,0.9999998211860657,8.70125961303711,1,0.00022500000000000002,194.31862038373947,36,False,9
4,True,0.9999997615814209,5.729187965393066,1,0.00025,17.15559108555317,40,False,10
4,True,0.9999996423721313,2.8944435119628906,1,0.00027499999999999996,8.693951070308685,44,False,11
4,True,0.9999997615814209,4.543310642242432,1,0.00030000000000000003,16.144654486328363,48,False,12
4,True,0.9999998807907104,9.806815147399902,1,0.00032500000000000004,374.02770137786865,52,False,13
4,True,0.9999997615814209,3.931720495223999,1,0.00035,12.984403729438782,56,False,14
4,True,0.9999995827674866,2.509004592895508,1,0.000375,9.345988035202026,60,False,15
4,True,0.9999998211860657,8.89352798461914,1,0.0004,66.75970803946257,64,False,16
4,True,0.9999998807907104,4.942392826080322,1,0.00042500000000000003,171.63494265079498,68,False,17
4,True,0.9999999403953552,33.77688217163086,1,0.00045000000000000004,659.8153196983039,72,False,18
4,True,0.9999996423721313,2.722482919692993,1,0.000475,27.545353651046753,76,False,19
4,True,0.9999995827674866,2.2733004093170166,1,0.0005,7.010741412639618,80,False,20
4,True,0.999999463558197,1.86773681640625,2,0.0005250000000000001,30.733659863471985,84,False,21
4,True,0.9999999403953552,8.78084659576416,2,0.0005499999999999999,318.11272533237934,88,False,22
4,True,0.9999998807907104,11.344365119934082,2,0.000575,390.2282706350088,92,False,23
4,True,0.9999992847442627,1.4230444431304932,2,0.0006000000000000001,3.7091753408312798,96,False,24
4,True,0.9999992251396179,1.2084437608718872,2,0.000625,10.958566755056381,100,False,25
4,True,0.9999998807907104,7.636350154876709,2,0.0006500000000000001,160.7051717042923,104,False,26
4,True,0.9999991059303284,1.0986745357513428,2,0.000675,4.2268543019890785,108,False,27
4,True,0.9999998211860657,4.248879909515381,2,0.0007,38.28740097209811,112,False,28
4,True,0.9999997615814209,4.888870716094971,2,0.0007250000000000001,49.22020971775055,116,False,29
4,True,0.9999992847442627,1.3925665616989136,2,0.00075,9.567133568227291,120,False,30
4,True,0.9999997019767761,2.914583206176758,2,0.000775,4.41693189740181,124,False,31
4,True,0.9999998807907104,20.387250900268555,2,0.0008,346.63279896974564,128,False,32
4,True,0.999999463558197,2.237393856048584,2,0.000825,15.012070313096046,132,False,33
4,True,0.9999995231628418,1.942117691040039,2,0.0008500000000000001,8.10547100752592,136,False,34
4,True,0.9999998211860657,4.373405456542969,2,0.0008750000000000001,6.174744296818972,140,False,35
4,True,0.9999995827674866,2.273486375808716,2,0.0009000000000000001,8.937454663217068,144,False,36
