accumulation_count,base_h1_gradient_cosine,base_only_gradient_norm,clip_scale,clipping_triggered,effective_base_gradient_norm,effective_base_gradient_projection,effective_h1_gradient_norm,effective_h1_gradient_projection,epoch,global_optimizer_step,h1_only_gradient_norm,h1_to_base_gradient_ratio,learning_rate,nonfinite,optimizer_step_in_epoch,other_prior_gradient_norm,parameter_update_norm,selected_h1_gradient_norm,total_gradient_norm_after_clip,total_gradient_norm_before_clip
4,0.4377281367778778,5.900475025177002,0.16911089596796916,True,0.9978346181443082,0.9977655110705984,0.002361162499165393,0.0010401765579895438,0,1,0.0139622138813138,0.0023662864128291034,0.0005,False,0,0.06756515800952911,0.4047865867614746,0.0139622138813138,0.9999997615814209,5.9132795333862305
4,0.4043482542037964,5.781111240386963,0.17254312936489313,True,0.9974910246229255,0.9974215022686501,0.0024014593390077835,0.0009778955313653186,0,2,0.013918023556470871,0.0024074996964665325,0.0005,False,1,0.06667255610227585,0.40277236700057983,0.013918023556470871,0.9999997615814209,5.795652389526367
4,0.3937545716762543,6.3545732498168945,0.15699441785680945,True,0.9976325280834571,0.9975746607066512,0.002281892894952894,0.0009047564714517323,0,3,0.01453486643731594,0.0022873080324842835,0.0005,False,2,0.06670171022415161,0.40217044949531555,0.01453486643731594,0.9999998211860657,6.369653224945068
4,0.4046059548854828,6.071883201599121,0.16439293821633028,True,0.9981747200172579,0.9981134984726361,0.0018683479688067215,0.0007604362334156048,0,4,0.011365135200321674,0.0018717644630134678,0.0005,False,3,0.06601071357727051,0.40139102935791016,0.011365135200321674,0.9999998211860657,6.082986354827881
4,0.3995479643344879,6.649266242980957,0.15005771472582716,True,0.9977736970253089,0.997722035691256,0.00227264590141014,0.0009140120287951475,0,5,0.01514514535665512,0.002277716789073157,0.0005,False,4,0.06580886244773865,0.4007066488265991,0.01514514535665512,0.9999998211860657,6.664102554321289
4,0.45645439624786377,5.500912666320801,0.1814244986640702,True,0.9980003226820849,0.9979267027211269,0.002511436850932123,0.0011534093514219855,0,6,0.013842876069247723,0.0025164689768663994,0.0005,False,5,0.06492543965578079,0.3998478949069977,0.013842876069247723,0.9999998211860657,5.511934757232666
4,0.4271417558193207,5.7635273933410645,0.17320712236852864,True,0.9982839944927927,0.9982186645435122,0.0020515880504832847,0.0008812766448218789,0,7,0.011844709515571594,0.002055114638520929,0.0005,False,6,0.06449554115533829,0.39894992113113403,0.011844709515571594,0.9999997615814209,5.773434638977051
4,0.4766191244125366,5.141640663146973,0.19404275478178482,True,0.9976981183750815,0.9976168798484042,0.002647975935862276,0.001269787325135922,0,8,0.013646353036165237,0.0026540853261054036,0.0005,False,7,0.06385818868875504,0.3980768322944641,0.013646353036165237,0.9999998807907104,5.15350341796875
4,0.4801415801048279,4.799629211425781,0.20780635318157997,True,0.9973934430501741,0.9973024786221208,0.002795696910637953,0.0013507581610723378,0,9,0.013453375548124313,0.0028030030978430194,0.0005,False,8,0.06331875920295715,0.39708513021469116,0.013453375548124313,0.9999997615814209,4.8121724128723145
4,0.460724800825119,5.68221378326416,0.17566688266738326,True,0.9981767819556532,0.998109854122453,0.0025667979393326416,0.0011897996698495641,0,10,0.014611735008656979,0.0025714863195913117,0.0005,False,9,0.0636792704463005,0.3961111903190613,0.014611735008656979,0.9999998211860657,5.692592620849609
