protocol_name,index,split,source_file,source_time,regridded_time,is_pair_input,is_pair_target,dropped_outgoing_transition,thermal_channel,paper_adaptation
paper_reduced100_press_spherical_ks,11,train,mad98.prim.00011.athdf,110.00006921544309,110.00006921544309,True,False,False,press,True
paper_reduced100_press_spherical_ks,12,train,mad98.prim.00012.athdf,120.0007282816384,120.0007282816384,True,True,False,press,True
paper_reduced100_press_spherical_ks,13,train,mad98.prim.00013.athdf,130.0013873478337,130.0013873478337,True,True,False,press,True
paper_reduced100_press_spherical_ks,14,train,mad98.prim.00014.athdf,140.00025128585344,140.00025128585344,True,True,False,press,True
paper_reduced100_press_spherical_ks,15,train,mad98.prim.00015.athdf,150.00091035204875,150.00091035204875,True,True,False,press,True
paper_reduced100_press_spherical_ks,16,train,mad98.prim.00016.athdf,160.00156941824406,160.00156941824406,True,True,False,press,True
paper_reduced100_press_spherical_ks,17,train,mad98.prim.00017.athdf,170.00043335626378,170.00043335626378,True,True,False,press,True
paper_reduced100_press_spherical_ks,18,train,mad98.prim.00018.athdf,180.0010924224591,180.0010924224591,True,True,False,press,True
paper_reduced100_press_spherical_ks,19,train,mad98.prim.00019.athdf,190.0017514886544,190.0017514886544,True,True,False,press,True
paper_reduced100_press_spherical_ks,20,train,mad98.prim.00020.athdf,200.00061542667413,200.00061542667413,True,True,False,press,True
paper_reduced100_press_spherical_ks,21,train,mad98.prim.00021.athdf,210.00127449286944,210.00127449286944,True,True,False,press,True
paper_reduced100_press_spherical_ks,22,train,mad98.prim.00022.athdf,220.00013843088917,220.00013843088917,True,True,False,press,True
paper_reduced100_press_spherical_ks,23,train,mad98.prim.00023.athdf,230.00079749708448,230.00079749708448,True,True,False,press,True
paper_reduced100_press_spherical_ks,24,train,mad98.prim.00024.athdf,240.0014565632798,240.0014565632798,True,True,False,press,True
paper_reduced100_press_spherical_ks,25,train,mad98.prim.00025.athdf,250.0003205012995,250.0003205012995,True,True,False,press,True
paper_reduced100_press_spherical_ks,26,train,mad98.prim.00026.athdf,260.0009795674315,260.0009795674315,True,True,False,press,True
paper_reduced100_press_spherical_ks,27,train,mad98.prim.00027.athdf,270.0016386334685,270.0016386334685,True,True,False,press,True
paper_reduced100_press_spherical_ks,28,train,mad98.prim.00028.athdf,280.0005025713299,280.0005025713299,True,True,False,press,True
paper_reduced100_press_spherical_ks,29,train,mad98.prim.00029.athdf,290.00116163736686,290.00116163736686,True,True,False,press,True
paper_reduced100_press_spherical_ks,30,train,mad98.prim.00030.athdf,300.0000255752283,300.0000255752283,True,True,False,press,True
paper_reduced100_press_spherical_ks,31,train,mad98.prim.00031.athdf,310.00068464126525,310.00068464126525,True,True,False,press,True
paper_reduced100_press_spherical_ks,32,train,mad98.prim.00032.athdf,320.0013437073022,320.0013437073022,True,True,False,press,True
paper_reduced100_press_spherical_ks,33,train,mad98.prim.00033.athdf,330.00020764516364,330.00020764516364,True,True,False,press,True
paper_reduced100_press_spherical_ks,34,train,mad98.prim.00034.athdf,340.0008667112006,340.0008667112006,True,True,False,press,True
paper_reduced100_press_spherical_ks,35,train,mad98.prim.00035.athdf,350.0015257772376,350.0015257772376,True,True,False,press,True
paper_reduced100_press_spherical_ks,36,train,mad98.prim.00036.athdf,360.000389715099,360.000389715099,True,True,False,press,True
paper_reduced100_press_spherical_ks,37,train,mad98.prim.00037.athdf,370.001048781136,370.001048781136,True,True,False,press,True
paper_reduced100_press_spherical_ks,38,train,mad98.prim.00038.athdf,380.00170784717295,380.00170784717295,True,True,False,press,True
paper_reduced100_press_spherical_ks,39,train,mad98.prim.00039.athdf,390.00057178503437,390.00057178503437,True,True,False,press,True
paper_reduced100_press_spherical_ks,40,train,mad98.prim.00040.athdf,400.00123085107134,400.00123085107134,True,True,False,press,True
paper_reduced100_press_spherical_ks,41,train,mad98.prim.00041.athdf,410.00009478893276,410.00009478893276,True,True,False,press,True
paper_reduced100_press_spherical_ks,42,train,mad98.prim.00042.athdf,420.00075385496973,420.00075385496973,True,True,False,press,True
paper_reduced100_press_spherical_ks,43,train,mad98.prim.00043.athdf,430.0014129210067,430.0014129210067,True,True,False,press,True
paper_reduced100_press_spherical_ks,44,train,mad98.prim.00044.athdf,440.0002768588681,440.0002768588681,True,True,False,press,True
paper_reduced100_press_spherical_ks,45,train,mad98.prim.00045.athdf,450.0009359249051,450.0009359249051,True,True,False,press,True
paper_reduced100_press_spherical_ks,46,train,mad98.prim.00046.athdf,460.00159499094207,460.00159499094207,True,True,False,press,True
paper_reduced100_press_spherical_ks,47,train,mad98.prim.00047.athdf,470.0004589288035,470.0004589288035,True,True,False,press,True
paper_reduced100_press_spherical_ks,48,train,mad98.prim.00048.athdf,480.00111799484046,480.00111799484046,True,True,False,press,True
paper_reduced100_press_spherical_ks,49,train,mad98.prim.00049.athdf,490.00177706087743,490.00177706087743,True,True,False,press,True
paper_reduced100_press_spherical_ks,50,train,mad98.prim.00050.athdf,500.00064099873885,500.00064099873885,True,True,False,press,True
paper_reduced100_press_spherical_ks,51,train,mad98.prim.00051.athdf,510.0013000647758,510.0013000647758,True,True,False,press,True
paper_reduced100_press_spherical_ks,52,train,mad98.prim.00052.athdf,520.0001640026372,520.0001640026372,True,True,False,press,True
paper_reduced100_press_spherical_ks,53,train,mad98.prim.00053.athdf,530.0008230686742,530.0008230686742,True,True,False,press,True
paper_reduced100_press_spherical_ks,54,train,mad98.prim.00054.athdf,540.0014821347112,540.0014821347112,True,True,False,press,True
paper_reduced100_press_spherical_ks,55,train,mad98.prim.00055.athdf,550.0003460725726,550.0003460725726,True,True,False,press,True
paper_reduced100_press_spherical_ks,56,train,mad98.prim.00056.athdf,560.0010051386096,560.0010051386096,True,True,False,press,True
paper_reduced100_press_spherical_ks,57,train,mad98.prim.00057.athdf,570.0016642046465,570.0016642046465,True,True,False,press,True
paper_reduced100_press_spherical_ks,58,train,mad98.prim.00058.athdf,580.000528142508,580.000528142508,True,True,False,press,True
paper_reduced100_press_spherical_ks,59,train,mad98.prim.00059.athdf,590.0011872085449,590.0011872085449,True,True,False,press,True
paper_reduced100_press_spherical_ks,60,train,mad98.prim.00060.athdf,600.0000511464063,600.0000511464063,True,True,False,press,True
paper_reduced100_press_spherical_ks,61,train,mad98.prim.00061.athdf,610.0007102124433,610.0007102124433,True,True,False,press,True
paper_reduced100_press_spherical_ks,62,train,mad98.prim.00062.athdf,620.0013692784803,620.0013692784803,True,True,False,press,True
paper_reduced100_press_spherical_ks,63,train,mad98.prim.00063.athdf,630.0002332163417,630.0002332163417,True,True,False,press,True
paper_reduced100_press_spherical_ks,64,train,mad98.prim.00064.athdf,640.0008922823787,640.0008922823787,True,True,False,press,True
paper_reduced100_press_spherical_ks,65,train,mad98.prim.00065.athdf,650.0015513484157,650.0015513484157,True,True,False,press,True
paper_reduced100_press_spherical_ks,66,train,mad98.prim.00066.athdf,660.0004152862771,660.0004152862771,True,True,False,press,True
paper_reduced100_press_spherical_ks,67,train,mad98.prim.00067.athdf,670.001074352314,670.001074352314,True,True,False,press,True
paper_reduced100_press_spherical_ks,68,train,mad98.prim.00068.athdf,680.001733418351,680.001733418351,True,True,False,press,True
paper_reduced100_press_spherical_ks,69,train,mad98.prim.00069.athdf,690.0005973562124,690.0005973562124,True,True,False,press,True
paper_reduced100_press_spherical_ks,70,train,mad98.prim.00070.athdf,700.0012564222494,700.0012564222494,True,True,False,press,True
paper_reduced100_press_spherical_ks,71,train,mad98.prim.00071.athdf,710.0001203601108,710.0001203601108,True,True,False,press,True
paper_reduced100_press_spherical_ks,72,train,mad98.prim.00072.athdf,720.0007794261478,720.0007794261478,True,True,False,press,True
paper_reduced100_press_spherical_ks,73,train,mad98.prim.00073.athdf,730.0014384921848,730.0014384921848,True,True,False,press,True
paper_reduced100_press_spherical_ks,74,train,mad98.prim.00074.athdf,740.0003024300462,740.0003024300462,True,True,False,press,True
paper_reduced100_press_spherical_ks,75,train,mad98.prim.00075.athdf,750.0009614960832,750.0009614960832,True,True,False,press,True
